"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","FDISTOCK","INWARD","PC_GDP","A","2017",218.95681818445,
"NLD","FDISTOCK","INWARD","PC_GDP","A","2018",199.64350241847,
"NLD","FDISTOCK","INWARD","PC_GDP","A","2019",218.94597883971,
"NZL","FDISTOCK","INWARD","PC_GDP","A","2016",37.168688912971,
"NZL","FDISTOCK","INWARD","PC_GDP","A","2017",36.653295211552,
"NZL","FDISTOCK","INWARD","PC_GDP","A","2018",36.536723052753,
"NZL","FDISTOCK","INWARD","PC_GDP","A","2019",39.258854811497,
"NOR","FDISTOCK","INWARD","PC_GDP","A","2016",39.998243607631,
"NOR","FDISTOCK","INWARD","PC_GDP","A","2017",36.518577019742,
"NOR","FDISTOCK","INWARD","PC_GDP","A","2018",35.281011007724,
"NOR","FDISTOCK","INWARD","PC_GDP","A","2019",40.033421775667,
"POL","FDISTOCK","INWARD","PC_GDP","A","2016",39.55912228969,
"POL","FDISTOCK","INWARD","PC_GDP","A","2017",45.402968123464,
"POL","FDISTOCK","INWARD","PC_GDP","A","2018",39.447856708694,
"POL","FDISTOCK","INWARD","PC_GDP","A","2019",39.932694993195,
"PRT","FDISTOCK","INWARD","PC_GDP","A","2016",59.452644748409,
"PRT","FDISTOCK","INWARD","PC_GDP","A","2017",68.586564926443,
"PRT","FDISTOCK","INWARD","PC_GDP","A","2018",60.714404250282,
"PRT","FDISTOCK","INWARD","PC_GDP","A","2019",64.610510698404,
"SVK","FDISTOCK","INWARD","PC_GDP","A","2016",53.055656995947,
"SVK","FDISTOCK","INWARD","PC_GDP","A","2017",62.326224267727,
"SVK","FDISTOCK","INWARD","PC_GDP","A","2018",56.56497034789,
"SVK","FDISTOCK","INWARD","PC_GDP","A","2019",57.816044665377,
"ESP","FDISTOCK","INWARD","PC_GDP","A","2016",44.950494063575,
"ESP","FDISTOCK","INWARD","PC_GDP","A","2017",51.536559768643,
"ESP","FDISTOCK","INWARD","PC_GDP","A","2018",49.774325061788,
"ESP","FDISTOCK","INWARD","PC_GDP","A","2019",51.917729499606,
"SWE","FDISTOCK","INWARD","PC_GDP","A","2016",56.997397097835,
"SWE","FDISTOCK","INWARD","PC_GDP","A","2017",62.818454575481,
"SWE","FDISTOCK","INWARD","PC_GDP","A","2018",56.998458170148,
"SWE","FDISTOCK","INWARD","PC_GDP","A","2019",59.487057583677,
"CHE","FDISTOCK","INWARD","PC_GDP","A","2016",153.55914597028,
"CHE","FDISTOCK","INWARD","PC_GDP","A","2017",171.48185535956,
"CHE","FDISTOCK","INWARD","PC_GDP","A","2018",157.81398160463,
"CHE","FDISTOCK","INWARD","PC_GDP","A","2019",164.02878236369,
"TUR","FDISTOCK","INWARD","PC_GDP","A","2016",17.430695913926,
"TUR","FDISTOCK","INWARD","PC_GDP","A","2017",22.919686012131,
"TUR","FDISTOCK","INWARD","PC_GDP","A","2018",18.678448031544,
"TUR","FDISTOCK","INWARD","PC_GDP","A","2019",21.209671700032,
"GBR","FDISTOCK","INWARD","PC_GDP","A","2016",54.210269243319,
"GBR","FDISTOCK","INWARD","PC_GDP","A","2017",70.565516863626,
"GBR","FDISTOCK","INWARD","PC_GDP","A","2018",67.477478353316,
"GBR","FDISTOCK","INWARD","PC_GDP","A","2019",72.287022240563,
"USA","FDISTOCK","INWARD","PC_GDP","A","2016",34.746119356411,
"USA","FDISTOCK","INWARD","PC_GDP","A","2017",39.738530737382,
"USA","FDISTOCK","INWARD","PC_GDP","A","2018",35.633496187092,
"USA","FDISTOCK","INWARD","PC_GDP","A","2019",43.861004461515,
"CHL","FDISTOCK","INWARD","PC_GDP","A","2016",98.899435642168,
"CHL","FDISTOCK","INWARD","PC_GDP","A","2017",97.736097062975,
"CHL","FDISTOCK","INWARD","PC_GDP","A","2018",88.807169883493,
"CHL","FDISTOCK","INWARD","PC_GDP","A","2019",94.075208528664,
"EST","FDISTOCK","INWARD","PC_GDP","A","2016",78.755175952286,
"EST","FDISTOCK","INWARD","PC_GDP","A","2017",86.44198118731,
"EST","FDISTOCK","INWARD","PC_GDP","A","2018",79.521835971405,
"EST","FDISTOCK","INWARD","PC_GDP","A","2019",86.465987362723,
"ISR","FDISTOCK","INWARD","PC_GDP","A","2016",33.734274987556,
"ISR","FDISTOCK","INWARD","PC_GDP","A","2017",36.056868232124,
"ISR","FDISTOCK","INWARD","PC_GDP","A","2018",38.863216303596,
"ISR","FDISTOCK","INWARD","PC_GDP","A","2019",41.767916155035,
"SVN","FDISTOCK","INWARD","PC_GDP","A","2016",30.598164955544,
"SVN","FDISTOCK","INWARD","PC_GDP","A","2017",34.46923943099,
"SVN","FDISTOCK","INWARD","PC_GDP","A","2018",32.322652791344,
"SVN","FDISTOCK","INWARD","PC_GDP","A","2019",33.460150215747,
"OECD","FDISTOCK","INWARD","PC_GDP","A","2016",39.507612816628,
"OECD","FDISTOCK","INWARD","PC_GDP","A","2017",44.681213169085,
"OECD","FDISTOCK","INWARD","PC_GDP","A","2018",41.071771018403,
"OECD","FDISTOCK","INWARD","PC_GDP","A","2019",46.271892408204,
"LVA","FDISTOCK","INWARD","PC_GDP","A","2016",51.619355311361,
"LVA","FDISTOCK","INWARD","PC_GDP","A","2017",58.197515426443,
"LVA","FDISTOCK","INWARD","PC_GDP","A","2018",50.924664954261,
"LVA","FDISTOCK","INWARD","PC_GDP","A","2019",52.434661617598,
"LTU","FDISTOCK","INWARD","PC_GDP","A","2016",37.562477447853,
"LTU","FDISTOCK","INWARD","PC_GDP","A","2017",41.091757133457,
"LTU","FDISTOCK","INWARD","PC_GDP","A","2018",36.324972021025,
"LTU","FDISTOCK","INWARD","PC_GDP","A","2019",38.461301903975,
"COL","FDISTOCK","INWARD","PC_GDP","A","2016",58.170775318639,
"COL","FDISTOCK","INWARD","PC_GDP","A","2017",57.574133730031,
"COL","FDISTOCK","INWARD","PC_GDP","A","2018",56.747972802435,
"COL","FDISTOCK","INWARD","PC_GDP","A","2019",63.529579932017,
